line_type,violation_id_raw,violation_type_raw,case_status_raw,project_raw,district_raw,address_raw,parcel_number_raw,assigned_to_raw,opened_date_raw,closed_date_raw,compliance_date_raw,resolved_date_raw,fee_total_raw,violation_code_raw,violation_text_raw,narrative_raw,primary_status_raw,raw_violation_status,chunk_id,source_file
violation_item,,,,,,,,,,,,,,Description:,"Per online submitter: ""Graffiti on east facing dumpster enclosure originally reported in early December has been enhanced Faces a residential neighborhood."" Submitter: Brian Stenberg 1026 SW 5th St, boca raton fl 33486 b.stenberg@greenfieldgrp.com SeeclickFix#15811539 created: 01/01/2024 11:22AM",,,,5,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00003,Municipal Code Enforcement SEC. 10-27(2),Closed - Resolved In Violation,03/13/2024,RB1 03/23/2024,"4055 N Federal Hwy, Boca Raton, FL 33431 064347080403901 60 $0.00","4055 N Federal Hwy, Boca Raton, FL 33431 064347080403901 60 $0.00",Therese Smyack,01/02/2024,05/14/2024,,,,,,,Closed - Resolved In Violation,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
narrative,CODE-2024-00003,,,,,"4055 N Federal Hwy, Boca Raton, FL 33431 064347080403901 60 $0.00","4055 N Federal Hwy, Boca Raton, FL 33431 064347080403901 60 $0.00",Therese Smyack,01/02/2024,05/14/2024,,,,,,DEAD PALM TREE ON THE SPANISH RIVER SIDE OF PARCEL,Closed - Resolved In Violation,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00004,"Municipal Code Closed - R1D Enforcement Resolved Description: Per online submitter: ""Recreational vehicle stored in driveway."" Submitter: Jeff horton 699 nw 12 terr SeeClickFix created: 01/02/2024 8:37 AM","Municipal Code Closed - R1D Enforcement Resolved Description: Per online submitter: ""Recreational vehicle stored in driveway."" Submitter: Jeff horton 699 nw 12 terr SeeClickFix created: 01/02/2024 8:37 AM","Municipal Code Closed - R1D Enforcement Resolved Description: Per online submitter: ""Recreational vehicle stored in driveway."" Submitter: Jeff horton 699 nw 12 terr SeeClickFix created: 01/02/2024 8:37 AM","Municipal Code Closed - R1D Enforcement Resolved Description: Per online submitter: ""Recreational vehicle stored in driveway."" Submitter: Jeff horton 699 nw 12 terr SeeClickFix created: 01/02/2024 8:37 AM","398 NW 11Th Ave, Boca Raton, FL 33486",064247240500401 20,Deiner Lobo,01/02/2024,01/03/2024,,,,,,,"Municipal Code Closed - R1D Enforcement Resolved Description: Per online submitter: ""Recreational vehicle stored in driveway."" Submitter: Jeff horton 699 nw 12 terr SeeClickFix created: 01/02/2024 8:37 AM",,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00005,Municipal Code Enforcement SEC. 28-1509(A) Description: Insp,Closed - Resolved In Violation 01/02/2024 R1D 01/05/2024 ection revealed: Property in compliance case closed.,Closed - Resolved In Violation 01/02/2024 R1D 01/05/2024 ection revealed: Property in compliance case closed.,Closed - Resolved In Violation 01/02/2024 R1D 01/05/2024 ection revealed: Property in compliance case closed.,"1049 W Palmetto Park Rd, Boca Raton, FL 33486 01/05/2024",064247240400201 40,Omari Best,01/02/2024,01/04/2024,,,,,,,Closed - Resolved In Violation 01/02/2024 R1D 01/05/2024 ection revealed: Property in compliance case closed.,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00010,"Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM","Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM","Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM","Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM","Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM","Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM",Keith Benoit,01/03/2024,01/12/2024,,,,,,,"Municipal Code Enforcement Closed - Resolved DDRI 401 NE Mizner Blvd, Boca Raton, FL 33432 064347204000100 20 Description: Per online submitter: ""a few times a week, a delivery truck comes into the south alley of the Mizner Park Apartments Palm Tower building. It seems to be delivering to either Villagio or Loch Bar. They come at 5am (sometimes earlier) and make very loud and aggressive noise. They leave their trucks in reverse with the beeping going on for a very long time, they clink and clank very loudly without any regard for people who are trying to sleep. This has been going on for a long time now and it's gotten too far. many people work nights and are just looking to get a good nights sleep, many of us have small kids and jobs and this is beyond disruptive to our everyday lives."" Submitter: natalie harris 401 NE Mizner Blvd SeeclickFix#15821081 created: 01/03/2024 10:29 AM",,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00011,Municipal Code Enforcement Description: Obs,"Closed - Resolved erved a ""Closed"" sign in the swale.","Closed - Resolved erved a ""Closed"" sign in the swale.",B4,"1601 N Federal Hwy, Boca Raton, FL 33432",064347170000051 12,Austin Mann,01/03/2024,03/04/2024,,,,,,,"Closed - Resolved erved a ""Closed"" sign in the swale.",,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00012,Municipal Code Enforcement Description: Pile,Closed - Resolved R1D of wood in swale. Picture taken. Will contact owner.,Closed - Resolved R1D of wood in swale. Picture taken. Will contact owner.,Closed - Resolved R1D of wood in swale. Picture taken. Will contact owner.,"298 NE 5Th St, Boca Raton, FL 33432",064347201802100 10,Steven Singer,01/03/2024,01/10/2024,,,,,,,Closed - Resolved R1D of wood in swale. Picture taken. Will contact owner.,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00013,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Deiner Lobo,01/03/2024,01/03/2024,,,,,,,Municipal Code Closed - DDRI Enforcement Resolved Description: Routine Patrol: Green utility box located on the South side of 853 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
case_header,CODE-2024-00014,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,Deiner Lobo,01/03/2024,01/03/2024,,,,,,,Municipal Code Enforcement Closed - Resolved DDRI Description: Routine Patrol: Green utility box located on the South East corner of 855 S Federal Hwy (Facing SE 9th ST) was tagged with graffiti.,,10,c:\Users\edilm\OneDrive\Desktop\Edilma Projects\LandingAI-Hack\coderisk-sf\results_folder\bocaraton\raw_json\boca_JustFOIA_Request_2024-9180-30p.json
