violation_id_raw,case_status_raw,chunk_id,source_file,Unnamed: 4,violation_description_raw,address_raw,opened_date_raw,days_active_raw,last_action_raw,next_action_raw,closed_date_raw,result_date_raw,due_date_raw,city,violation_id,violation_type,address,status,date_opened,days_active,last_action,next_action,result_date,due_date,date_closed,data_source,violation_code_raw,case_disposition_raw,0,1,2,3,4
23-00100401,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,5301 W ATLANTIC BLVD,11/07/23,92.0,INITIAL INSPECTION,,,,,Margate,23-00100401,40 YEAR SAFETY INSPECTIONS,5301 W ATLANTIC BLVD,ACTIVE,11/07/23,92.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
23-00100402,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,5301 W ATLANTIC BLVD,11/07/23,92.0,INITIAL INSPECTION,,,,,Margate,23-00100402,40 YEAR SAFETY INSPECTIONS,5301 W ATLANTIC BLVD,ACTIVE,11/07/23,92.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
24-00100048,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,5375 W ATLANTIC BLVD,2/07/24,2.0,INITIAL INSPECTION,,,,,Margate,24-00100048,40 YEAR SAFETY INSPECTIONS,5375 W ATLANTIC BLVD,ACTIVE,2/07/24,2.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
23-00100419,ACTIVE,3,margate_data.json,,UNSAFE STRUCTURE (BLDG),5499 W ATLANTIC BLVD,11/14/23,85.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,11/16/23,12/01/23,Margate,23-00100419,UNSAFE STRUCTURE (BLDG),5499 W ATLANTIC BLVD,ACTIVE,11/14/23,85.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,11/16/23,12/01/23,,legacy,,,,,,,
23-00100039,ACTIVE,3,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,5642 W ATLANTIC BLVD,2/23/23,349.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,2/25/23,3/12/23,Margate,23-00100039,WORK WITHOUT PERMIT-BUILDING,5642 W ATLANTIC BLVD,ACTIVE,2/23/23,349.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,2/25/23,3/12/23,,legacy,,,,,,,
24-00100015,ACTIVE,3,margate_data.json,,UNSAFE STRUCTURE (BLDG),5681 W ATLANTIC BLVD,1/10/24,28.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,1/12/24,1/27/24,Margate,24-00100015,UNSAFE STRUCTURE (BLDG),5681 W ATLANTIC BLVD,ACTIVE,1/10/24,28.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,1/12/24,1/27/24,,legacy,,,,,,,
23-00100245,ACTIVE,3,margate_data.json,,UNSAFE STRUCTURE (BLDG),6000 W ATLANTIC BLVD # 1,8/31/23,160.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,9/05/23,9/20/23,Margate,23-00100245,UNSAFE STRUCTURE (BLDG),6000 W ATLANTIC BLVD # 1,ACTIVE,8/31/23,160.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,9/05/23,9/20/23,,legacy,,,,,,,
20-00100525,CASE CLOSED,3,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,6101 W ATLANTIC BLVD,11/18/20,1128.0,CASE CLOSED,,12/20/23,,,Margate,20-00100525,WORK WITHOUT PERMIT-BUILDING,6101 W ATLANTIC BLVD,CASE CLOSED,11/18/20,1128.0,CASE CLOSED,,,,12/20/23,legacy,,,,,,,
21-00100157,CASE CLOSED,3,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,6101 W ATLANTIC BLVD,4/22/21,973.0,CASE CLOSED,,12/20/23,,,Margate,21-00100157,WORK WITHOUT PERMIT-BUILDING,6101 W ATLANTIC BLVD,CASE CLOSED,4/22/21,973.0,CASE CLOSED,,,,12/20/23,legacy,,,,,,,
21-00100315,CASE CLOSED,3,margate_data.json,,UNSAFE STRUCTURE (BLDG),6101 W ATLANTIC BLVD,7/29/21,875.0,CASE CLOSED,,12/20/23,,,Margate,21-00100315,UNSAFE STRUCTURE (BLDG),6101 W ATLANTIC BLVD,CASE CLOSED,7/29/21,875.0,CASE CLOSED,,,,12/20/23,legacy,,,,,,,
23-00100339,CASE CLOSED,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,6101 W ATLANTIC BLVD,10/31/23,98.0,CASE CLOSED,,2/01/24,,,Margate,23-00100339,40 YEAR SAFETY INSPECTIONS,6101 W ATLANTIC BLVD,CASE CLOSED,10/31/23,98.0,CASE CLOSED,,,,2/01/24,legacy,,,,,,,
23-00100341,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,6221 W ATLANTIC BLVD,10/31/23,99.0,INITIAL INSPECTION,,,,,Margate,23-00100341,40 YEAR SAFETY INSPECTIONS,6221 W ATLANTIC BLVD,ACTIVE,10/31/23,99.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
23-00100338,CASE CLOSED,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,6301 W ATLANTIC BLVD,10/31/23,10.0,CASE CLOSED,,11/03/23,,,Margate,23-00100338,40 YEAR SAFETY INSPECTIONS,6301 W ATLANTIC BLVD,CASE CLOSED,10/31/23,10.0,CASE CLOSED,,,,11/03/23,legacy,,,,,,,
23-00100487,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,6400 W ATLANTIC BLVD 1,12/15/23,54.0,INITIAL INSPECTION,,,,,Margate,23-00100487,40 YEAR SAFETY INSPECTIONS,6400 W ATLANTIC BLVD 1,ACTIVE,12/15/23,54.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
20-00100504,CASE CLOSED,3,margate_data.json,,UNSAFE STRUCTURE (BLDG),6500 W ATLANTIC BLVD,10/21/20,1063.0,CASE CLOSED,,9/18/23,,,Margate,20-00100504,UNSAFE STRUCTURE (BLDG),6500 W ATLANTIC BLVD,CASE CLOSED,10/21/20,1063.0,CASE CLOSED,,,,9/18/23,legacy,,,,,,,
23-00100350,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,6750 W ATLANTIC BLVD,11/07/23,92.0,INITIAL INSPECTION,,,,,Margate,23-00100350,40 YEAR SAFETY INSPECTIONS,6750 W ATLANTIC BLVD,ACTIVE,11/07/23,92.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
23-00100337,ACTIVE,3,margate_data.json,,40 YEAR SAFETY INSPECTIONS,7150 W ATLANTIC BLVD,10/31/23,99.0,INITIAL INSPECTION,,,,,Margate,23-00100337,40 YEAR SAFETY INSPECTIONS,7150 W ATLANTIC BLVD,ACTIVE,10/31/23,99.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
22-00100070,CASE CLOSED,7,margate_data.json,,40 YEAR SAFETY INSPECTIONS,7210 W ATLANTIC BLVD,2/26/22,683.0,CASE CLOSED,,1/09/24,,,Margate,22-00100070,40 YEAR SAFETY INSPECTIONS,7210 W ATLANTIC BLVD,CASE CLOSED,2/26/22,683.0,CASE CLOSED,,,,1/09/24,legacy,,,,,,,
20-00100370,CASE CLOSED,7,margate_data.json,,UNSAFE STRUCTURE (BLDG),441 BANKS RD,5/07/20,1051.0,CASE CLOSED,,3/23/23,,,Margate,20-00100370,UNSAFE STRUCTURE (BLDG),441 BANKS RD,CASE CLOSED,5/07/20,1051.0,CASE CLOSED,,,,3/23/23,legacy,,,,,,,
22-00100062,CASE CLOSED,7,margate_data.json,,50 YEAR SAFETY INSPECTIONS,441 BANKS RD,2/26/22,571.0,RELEASE OF SM LIEN CASE CLOSED,,,2/28/22,2/28/22,Margate,22-00100062,50 YEAR SAFETY INSPECTIONS,441 BANKS RD,CASE CLOSED,2/26/22,571.0,RELEASE OF SM LIEN CASE CLOSED,,2/28/22,2/28/22,,legacy,,,,,,,
23-00100150,ACTIVE,7,margate_data.json,,UNSAFE STRUCTURE (BLDG),465 BANKS RD,5/31/23,252.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,6/02/23,6/17/23,Margate,23-00100150,UNSAFE STRUCTURE (BLDG),465 BANKS RD,ACTIVE,5/31/23,252.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,6/02/23,6/17/23,,legacy,,,,,,,
21-00100205,CASE CLOSED,7,margate_data.json,,UNSAFE STRUCTURE (BLDG),689 BANKS RD,6/01/21,834.0,CASE CLOSED,,9/12/23,,,Margate,21-00100205,UNSAFE STRUCTURE (BLDG),689 BANKS RD,CASE CLOSED,6/01/21,834.0,CASE CLOSED,,,,9/12/23,legacy,,,,,,,
23-00100266,CASE CLOSED,7,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,689 BANKS RD,9/27/23,56.0,CASE CLOSED,,11/13/23,,,Margate,23-00100266,WORK WITHOUT PERMIT-BUILDING,689 BANKS RD,CASE CLOSED,9/27/23,56.0,CASE CLOSED,,,,11/13/23,legacy,,,,,,,
23-00100210,ACTIVE,7,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,693 BANKS RD,8/02/23,189.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,8/04/23,8/19/23,Margate,23-00100210,WORK WITHOUT PERMIT-BUILDING,693 BANKS RD,ACTIVE,8/02/23,189.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,8/04/23,8/19/23,,legacy,,,,,,,
23-00100276,ACTIVE,7,margate_data.json,,WORK WITHOUT PERMIT-BUILDING,743 BANKS RD,10/04/23,126.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,,10/05/23,10/20/23,Margate,23-00100276,WORK WITHOUT PERMIT-BUILDING,743 BANKS RD,ACTIVE,10/04/23,126.0,NOTICE OF VIOLATION-MAIL,REINSPECTION,10/05/23,10/20/23,,legacy,,,,,,,
24-00100059,ACTIVE,7,margate_data.json,,40 YEAR SAFETY INSPECTIONS,1001 BANKS RD,2/07/24,2.0,INITIAL INSPECTION,,,,,Margate,24-00100059,40 YEAR SAFETY INSPECTIONS,1001 BANKS RD,ACTIVE,2/07/24,2.0,INITIAL INSPECTION,,,,,legacy,,,,,,,
